,Id,Samlet fravær,Klasse,Fag,Fravær,Fag.1,Fravær.1,Fag.2,Fravær.2,Fag.3,Fravær.3
0,866066,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
1,130671,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
2,313022,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
3,818199,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
4,514306,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
5,544623,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
6,137094,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
7,366247,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
8,871887,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
9,434893,100%,SD18i,DLS,100%,System Integration,100%,,,,
10,367468,100%,SD18i,DLS,100%,System Integration,100%,,,,
11,658721,100%,SD18i,DLS,100%,System Integration,100%,Big Data,100%,,
12,705136,100%,SD18i,DLS,100%,System Integration,100%,Software Design Patterns,100%,,
13,730805,100%,SD18i,DLS,100%,System Integration,100%,,,,
14,390789,100%,SD18i,DLS,100%,System Integration,100%,Data Science,100%,,
15,841558,100%,SD18i,DLS,100%,System Integration,100%,Quantum Computing,100%,,
16,396737,100%,SD18i,DLS,100%,System Integration,100%,Big Data,100%,,
17,318902,100%,SD18i,DLS,100%,System Integration,100%,,,,
18,169701,100%,SD18i,DLS,100%,System Integration,100%,Software Design Patterns,100%,,
19,833408,100%,SD18i,DLS,100%,System Integration,100%,Software Design Patterns,100%,,
20,515816,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
21,488798,100%,ITS19w1,Intro til IT Sikkerhed,100%,Net. and Com. security,100%,System Security,100%,,
22,645146,96.1%,ITS18a,Security for mobile devices,100%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,100%
23,885986,96.1%,ITS18a,Security for mobile devices,100%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,100%
24,552567,96.1%,ITS18a,Security for mobile devices,100%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,100%
25,901019,88.2%,SD19w1,Databases,50%,Test,86.96%,Software Design Patterns,100%,,
26,802192,87.5%,Web and Soft Electives,Angular,66.67%,Web Security,100%,,,,
27,514382,86.4%,SD19w1,Databases,100%,Test,73.91%,Quantum Computing,100%,,
28,868181,84.3%,ITS18a,Security for mobile devices,80%,IT Governance 2,0%,Security Engineering,82.61%,Reverse Eng. Malware,100%
29,367459,84.1%,ITS19w1,Intro til IT Sikkerhed,72.22%,Net. and Com. security,100%,System Security,100%,,
30,334714,83%,Web and Soft Electives,Big Data,52.94%,Test,100%,,,,
31,680918,82.4%,ITS18a,Security for mobile devices,80%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,68.75%
32,419276,82%,SD18i,DLS,83.33%,System Integration,100%,Data Science,80%,,
33,841083,81.2%,Web19w1,Web Development,75%,Interface Design,100%,Databases,50%,,
34,277369,80.4%,ITS18a,Security for mobile devices,100%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,50%
35,378048,75%,Web19w1,Web Development,50%,Interface Design,100%,Databases,100%,,
36,749403,74.6%,ITS19w1,Intro til IT Sikkerhed,88.89%,Net. and Com. security,50%,System Security,60%,,
37,295662,74.5%,Web and Soft Electives,Big Data,23.53%,Databases,50%,Test,100%,,
38,716183,68.8%,Web19w1,Web Development,62.5%,Interface Design,100%,Databases,0%,,
39,479362,68.6%,ITS18a,Security for mobile devices,80%,IT Governance 2,0%,Security Engineering,60.87%,Reverse Eng. Malware,81.25%
40,406547,68.3%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,75%,System Security,80%,,
41,561413,64.6%,SD18i,DLS,60%,System Integration,0%,Big Data,76.47%,,
42,754974,64.2%,SD18i,DLS,60%,System Integration,100%,Data Science,66.67%,,
43,450437,63.5%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,100%,System Security,40%,,
44,625590,62.5%,Web and Soft Electives,Angular,100%,Web Security,40%,,,,
45,682975,62.5%,Web and Soft Electives,Angular,100%,Web Security,40%,,,,
46,846589,60.3%,ITS19w1,Intro til IT Sikkerhed,55.56%,Net. and Com. security,50%,System Security,80%,,
47,152058,58.8%,ITS18a,Security for mobile devices,80%,IT Governance 2,0%,Security Engineering,60.87%,Reverse Eng. Malware,50%
48,472995,58.7%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,50%,System Security,60%,,
49,904227,58.7%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,75%,System Security,40%,,
50,223596,58.6%,SD19w1,Databases,50%,Test,60.87%,,,,
51,303262,56.9%,ITS18a,Security for mobile devices,90%,IT Governance 2,0%,Security Engineering,65.22%,Reverse Eng. Malware,31.25%
52,440629,56.2%,Web19w1,Web Development,25%,Interface Design,100%,Databases,50%,,
53,873773,55.9%,SD19w1,Databases,50%,Test,47.83%,Software Design Patterns,65.91%,,
54,628997,54%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,50%,System Security,40%,,
55,421815,54%,ITS19w1,Intro til IT Sikkerhed,66.67%,Net. and Com. security,50%,System Security,26.67%,,
56,370866,52.9%,Web and Soft Electives,Quantum Computing,80%,Databases,0%,Test,33.33%,,
57,765494,52.7%,Web and Soft Electives,Big Data,29.41%,Databases,0%,Test,66.67%,,
58,766169,52.1%,Web and Soft Electives,Angular,33.33%,Web Security,63.33%,,,,
59,499888,52.1%,Web and Soft Electives,Angular,66.67%,Web Security,43.33%,,,,
60,495512,50%,Web and Soft Electives,Angular,33.33%,Web Security,60%,,,,
61,406429,50%,Web and Soft Electives,Angular,33.33%,Web Security,60%,,,,
62,240622,50%,Web and Soft Electives,Angular,100%,Web Security,20%,,,,
63,128203,50%,Web and Soft Electives,Angular,100%,Web Security,20%,,,,
64,808999,50%,Web and Soft Electives,Angular,100%,Web Security,20%,,,,
65,318599,50%,Web19w1,Web Development,25%,Interface Design,100%,Databases,0%,,
66,507024,50%,Web19w1,Web Development,25%,Interface Design,100%,Databases,0%,,
67,743052,49%,ITS18a,Security for mobile devices,60%,IT Governance 2,0%,Security Engineering,60.87%,Reverse Eng. Malware,31.25%
68,684530,47.9%,SD18i,DLS,63.33%,System Integration,0%,Big Data,23.53%,,
69,293535,47.6%,ITS19w1,Intro til IT Sikkerhed,83.33%,Net. and Com. security,0%,System Security,0%,,
70,876202,47.1%,Web and Soft Electives,Web Security,43.33%,Databases,50%,Test,50%,,
71,446182,46%,ITS19w1,Intro til IT Sikkerhed,55.56%,Net. and Com. security,75%,System Security,0%,,
72,573878,45.1%,ITS18a,Security for mobile devices,40%,IT Governance 2,0%,Security Engineering,60.87%,Reverse Eng. Malware,31.25%
73,870476,43.1%,ITS18a,Security for mobile devices,50%,IT Governance 2,0%,Security Engineering,60.87%,Reverse Eng. Malware,18.75%
74,606471,41.8%,SD18i,DLS,73.33%,System Integration,0%,Data Science,16.67%,,
75,776223,41%,SD18i,DLS,83.33%,System Integration,0%,Data Science,0%,,
76,705466,40.9%,SD19w1,Databases,100%,Test,26.09%,Data Science,40%,,
77,122967,40%,SD19w1,Databases,100%,Test,39.13%,Big Data,0%,,
78,123519,39.6%,Web and Soft Electives,Angular,33.33%,Web Security,43.33%,,,,
79,225516,39.6%,Web and Soft Electives,Angular,33.33%,Web Security,43.33%,,,,
80,601221,39.6%,Web and Soft Electives,Angular,66.67%,Web Security,23.33%,,,,
